NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_CF_DIPNAC,PORCENTAJE_CF_DIPNAC
COMUNA 01,1001000001,7115,428,6.02
COMUNA 01,1001000002,6635,396,5.97
COMUNA 01,1001000003,3377,150,4.44
COMUNA 01,1001000005,5393,164,3.04
COMUNA 01,1001000006,11100,371,3.34
COMUNA 01,1001000007,5335,249,4.67
COMUNA 01,1001000008,5688,302,5.31
COMUNA 01,1001000009,7309,462,6.32
COMUNA 01,1001000010,8189,556,6.79
COMUNA 01,1001000011,8197,566,6.9
COMUNA 01,1001000012,7768,493,6.35
COMUNA 01,1001000013,8890,664,7.47
COMUNA 01,1001000014,3528,220,6.24
COMUNA 01,1001000015,5820,377,6.48
COMUNA 01,1001000016,5943,413,6.95
COMUNA 01,1001000017,8778,571,6.5
COMUNA 01,1001000018,4859,353,7.26
COMUNA 01,1001000019,7851,496,6.32
COMUNA 02,1002000020,6947,281,4.04
COMUNA 02,1002000021,8080,273,3.38
COMUNA 02,1002000022,11875,703,5.92
COMUNA 02,1002000023,14752,888,6.02
COMUNA 02,1002000024,9689,474,4.89
COMUNA 02,1002000025,9401,415,4.41
COMUNA 02,1002000026,12226,523,4.28
COMUNA 02,1002000027,9137,563,6.16
COMUNA 02,1002000028,13207,863,6.53
COMUNA 02,1002000029,8625,590,6.84
COMUNA 03,1003000030,7979,609,7.63
COMUNA 03,1003000031,8888,623,7.01
COMUNA 03,1003000032,7974,567,7.11
COMUNA 03,1003000033,6432,440,6.84
COMUNA 03,1003000034,10020,703,7.02
COMUNA 03,1003000035,9306,685,7.36
COMUNA 03,1003000036,6278,447,7.12
COMUNA 03,1003000037,8258,607,7.35
COMUNA 03,1003000038,9107,614,6.74
COMUNA 03,1003000039,9583,624,6.51
COMUNA 03,1003000040,7371,529,7.18
COMUNA 03,1003000041,13721,1002,7.3
COMUNA 03,1003000042,12062,833,6.91
COMUNA 04,1004000043,9232,714,7.73
COMUNA 04,1004000044,7311,587,8.03
COMUNA 04,1004000045,5353,314,5.87
COMUNA 04,1004000046,4881,341,6.99
COMUNA 04,1004000047,11181,448,4.01
COMUNA 04,1004000048,10295,754,7.32
COMUNA 04,1004000049,9129,608,6.66
COMUNA 04,1004000050,10959,793,7.24
COMUNA 04,1004000051,8034,573,7.13
COMUNA 04,1004000052,9454,501,5.3
COMUNA 04,1004000053,10692,633,5.92
COMUNA 04,1004000054,11477,790,6.88
COMUNA 04,1004000055,7420,566,7.63
COMUNA 04,1004000056,6864,530,7.72
COMUNA 04,1004000057,14630,1219,8.33
COMUNA 05,1005000058,10877,908,8.35
COMUNA 05,1005000059,10361,854,8.24
COMUNA 05,1005000060,12266,1019,8.31
COMUNA 05,1005000061,11723,898,7.66
COMUNA 05,1005000062,8034,627,7.8
COMUNA 05,1005000063,15526,1207,7.77
COMUNA 05,1005000064,16714,1218,7.29
COMUNA 05,1005000065,10516,795,7.56
COMUNA 05,1005000066,10193,761,7.47
COMUNA 05,1005000067,15739,1197,7.61
COMUNA 06,1006000068,15765,1239,7.86
COMUNA 06,1006000069,22535,1762,7.82
COMUNA 06,1006000070,20684,1622,7.84
COMUNA 06,1006000071,24724,1903,7.7
COMUNA 06,1006000072,10770,930,8.64
COMUNA 06,1006000073,13842,1130,8.16
COMUNA 06,1006000074,19277,1564,8.11
COMUNA 07,1007000075,8275,714,8.63
COMUNA 07,1007000076,13207,1154,8.74
COMUNA 07,1007000077,10308,884,8.58
COMUNA 07,1007000078,8195,643,7.85
COMUNA 07,1007000079,10047,768,7.64
COMUNA 07,1007000080,10633,950,8.93
COMUNA 07,1007000081,9827,803,8.17
COMUNA 07,1007000082,11287,908,8.04
COMUNA 07,1007000083,16283,1332,8.18
COMUNA 07,1007000084,8838,818,9.26
COMUNA 07,1007000085,6063,577,9.52
COMUNA 07,1007000086,20925,1313,6.27
COMUNA 08,1008000087,22915,1265,5.52
COMUNA 08,1008000088,13075,1147,8.77
COMUNA 08,1008000089,36057,2558,7.09
COMUNA 08,1008000090,34300,2432,7.09
COMUNA 09,1009000091,6707,364,5.43
COMUNA 09,1009000092,10727,931,8.68
COMUNA 09,1009000093,6662,574,8.62
COMUNA 09,1009000094,8442,746,8.84
COMUNA 09,1009000095,15070,1382,9.17
COMUNA 09,1009000096,8483,793,9.35
COMUNA 09,1009000097,10989,871,7.93
COMUNA 09,1009000098,16149,1679,10.4
COMUNA 09,1009000099,8741,931,10.65
COMUNA 09,1009000100,11106,1038,9.35
COMUNA 09,1009000101,13539,1255,9.27
COMUNA 10,1010000102,10505,1006,9.58
COMUNA 10,1010000103,10295,1003,9.74
COMUNA 10,1010000104,10075,985,9.78
COMUNA 10,1010000105,14929,1405,9.41
COMUNA 10,1010000106,9265,902,9.74
COMUNA 10,1010000107,15470,1390,8.99
COMUNA 10,1010000108,9714,863,8.88
COMUNA 10,1010000109,15193,1262,8.31
COMUNA 10,1010000110,8090,752,9.3
COMUNA 10,1010000111,8595,761,8.85
COMUNA 10,1010000112,6584,581,8.82
COMUNA 11,1011000113,10249,974,9.5
COMUNA 11,1011000114,13511,1222,9.04
COMUNA 11,1011000115,9370,778,8.3
COMUNA 11,1011000116,13592,1129,8.31
COMUNA 11,1011000117,14739,1306,8.86
COMUNA 11,1011000118,11631,992,8.53
COMUNA 11,1011000119,14489,1366,9.43
COMUNA 11,1011000120,15244,1430,9.38
COMUNA 11,1011000121,12473,1198,9.6
COMUNA 11,1011000122,10581,774,7.31
COMUNA 11,1011000123,11594,1115,9.62
COMUNA 12,1012000124,13351,1096,8.21
COMUNA 12,1012000125,17542,1577,8.99
COMUNA 12,1012000126,14626,1309,8.95
COMUNA 12,1012000127,19325,1607,8.32
COMUNA 12,1012000128,15891,1392,8.76
COMUNA 12,1012000129,20498,1598,7.8
COMUNA 12,1012000130,13851,1062,7.67
COMUNA 12,1012000131,4524,400,8.84
COMUNA 12,1012000132,15922,1256,7.89
COMUNA 12,1012000133,16419,1418,8.64
COMUNA 13,1013000134,6827,483,7.07
COMUNA 13,1013000135,9464,661,6.98
COMUNA 13,1013000136,11511,805,6.99
COMUNA 13,1013000137,10995,875,7.96
COMUNA 13,1013000138,22381,1549,6.92
COMUNA 13,1013000139,14109,928,6.58
COMUNA 13,1013000140,6545,396,6.05
COMUNA 13,1013000141,11224,685,6.1
COMUNA 13,1013000142,18655,823,4.41
COMUNA 13,1013000143,13915,910,6.54
COMUNA 13,1013000144,6201,319,5.14
COMUNA 13,1013000145,11900,850,7.14
COMUNA 13,1013000146,8724,578,6.63
COMUNA 13,1013000147,16001,1034,6.46
COMUNA 14,1014000148,17107,1043,6.1
COMUNA 14,1014000149,19245,1126,5.85
COMUNA 14,1014000150,9688,348,3.59
COMUNA 14,1014000151,19475,934,4.8
COMUNA 14,1014000152,15096,756,5.01
COMUNA 14,1014000153,17650,1161,6.58
COMUNA 14,1014000154,20244,1303,6.44
COMUNA 14,1014000155,18373,1226,6.67
COMUNA 14,1014000156,7586,543,7.16
COMUNA 14,1014000157,12399,853,6.88
COMUNA 15,1015000158,15275,1144,7.49
COMUNA 15,1015000159,9413,709,7.53
COMUNA 15,1015000160,17770,1364,7.68
COMUNA 15,1015000161,15642,1239,7.92
COMUNA 15,1015000162,12685,937,7.39
COMUNA 15,1015000163,9521,613,6.44
COMUNA 15,1015000164,8653,565,6.53
COMUNA 15,1015000165,15825,1182,7.47
COMUNA 15,1015000166,13177,1015,7.7
COMUNA 15,1015000167,10606,941,8.87
