NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_FIT_DIPNAC,PORCENTAJE_FIT_DIPNAC
COMUNA 01,1001000001,7115,414,5.82
COMUNA 01,1001000002,6635,401,6.04
COMUNA 01,1001000003,3377,47,1.39
COMUNA 01,1001000005,5393,182,3.37
COMUNA 01,1001000006,11100,187,1.68
COMUNA 01,1001000007,5335,133,2.49
COMUNA 01,1001000008,5688,156,2.74
COMUNA 01,1001000009,7309,224,3.06
COMUNA 01,1001000010,8189,330,4.03
COMUNA 01,1001000011,8197,346,4.22
COMUNA 01,1001000012,7768,377,4.85
COMUNA 01,1001000013,8890,477,5.37
COMUNA 01,1001000014,3528,137,3.88
COMUNA 01,1001000015,5820,311,5.34
COMUNA 01,1001000016,5943,343,5.77
COMUNA 01,1001000017,8778,459,5.23
COMUNA 01,1001000018,4859,234,4.82
COMUNA 01,1001000019,7851,391,4.98
COMUNA 02,1002000020,6947,156,2.25
COMUNA 02,1002000021,8080,144,1.78
COMUNA 02,1002000022,11875,435,3.66
COMUNA 02,1002000023,14752,494,3.35
COMUNA 02,1002000024,9689,273,2.82
COMUNA 02,1002000025,9401,226,2.4
COMUNA 02,1002000026,12226,252,2.06
COMUNA 02,1002000027,9137,327,3.58
COMUNA 02,1002000028,13207,572,4.33
COMUNA 02,1002000029,8625,382,4.43
COMUNA 03,1003000030,7979,361,4.52
COMUNA 03,1003000031,8888,416,4.68
COMUNA 03,1003000032,7974,405,5.08
COMUNA 03,1003000033,6432,327,5.08
COMUNA 03,1003000034,10020,493,4.92
COMUNA 03,1003000035,9306,507,5.45
COMUNA 03,1003000036,6278,364,5.8
COMUNA 03,1003000037,8258,438,5.3
COMUNA 03,1003000038,9107,439,4.82
COMUNA 03,1003000039,9583,498,5.2
COMUNA 03,1003000040,7371,373,5.06
COMUNA 03,1003000041,13721,777,5.66
COMUNA 03,1003000042,12062,664,5.5
COMUNA 04,1004000043,9232,504,5.46
COMUNA 04,1004000044,7311,418,5.72
COMUNA 04,1004000045,5353,266,4.97
COMUNA 04,1004000046,4881,241,4.94
COMUNA 04,1004000047,11181,327,2.92
COMUNA 04,1004000048,10295,480,4.66
COMUNA 04,1004000049,9129,455,4.98
COMUNA 04,1004000050,10959,580,5.29
COMUNA 04,1004000051,8034,339,4.22
COMUNA 04,1004000052,9454,485,5.13
COMUNA 04,1004000053,10692,425,3.97
COMUNA 04,1004000054,11477,576,5.02
COMUNA 04,1004000055,7420,324,4.37
COMUNA 04,1004000056,6864,300,4.37
COMUNA 04,1004000057,14630,707,4.83
COMUNA 05,1005000058,10877,597,5.49
COMUNA 05,1005000059,10361,634,6.12
COMUNA 05,1005000060,12266,720,5.87
COMUNA 05,1005000061,11723,587,5.01
COMUNA 05,1005000062,8034,456,5.68
COMUNA 05,1005000063,15526,904,5.82
COMUNA 05,1005000064,16714,928,5.55
COMUNA 05,1005000065,10516,611,5.81
COMUNA 05,1005000066,10193,635,6.23
COMUNA 05,1005000067,15739,993,6.31
COMUNA 06,1006000068,15765,926,5.87
COMUNA 06,1006000069,22535,1048,4.65
COMUNA 06,1006000070,20684,1128,5.45
COMUNA 06,1006000071,24724,1125,4.55
COMUNA 06,1006000072,10770,655,6.08
COMUNA 06,1006000073,13842,853,6.16
COMUNA 06,1006000074,19277,862,4.47
COMUNA 07,1007000075,8275,398,4.81
COMUNA 07,1007000076,13207,617,4.67
COMUNA 07,1007000077,10308,509,4.94
COMUNA 07,1007000078,8195,333,4.06
COMUNA 07,1007000079,10047,501,4.99
COMUNA 07,1007000080,10633,532,5.0
COMUNA 07,1007000081,9827,487,4.96
COMUNA 07,1007000082,11287,633,5.61
COMUNA 07,1007000083,16283,694,4.26
COMUNA 07,1007000084,8838,446,5.05
COMUNA 07,1007000085,6063,269,4.44
COMUNA 07,1007000086,20925,942,4.5
COMUNA 08,1008000087,22915,827,3.61
COMUNA 08,1008000088,13075,506,3.87
COMUNA 08,1008000089,36057,1507,4.18
COMUNA 08,1008000090,34300,1324,3.86
COMUNA 09,1009000091,6707,255,3.8
COMUNA 09,1009000092,10727,566,5.28
COMUNA 09,1009000093,6662,266,3.99
COMUNA 09,1009000094,8442,440,5.21
COMUNA 09,1009000095,15070,668,4.43
COMUNA 09,1009000096,8483,393,4.63
COMUNA 09,1009000097,10989,457,4.16
COMUNA 09,1009000098,16149,637,3.94
COMUNA 09,1009000099,8741,331,3.79
COMUNA 09,1009000100,11106,466,4.2
COMUNA 09,1009000101,13539,577,4.26
COMUNA 10,1010000102,10505,476,4.53
COMUNA 10,1010000103,10295,465,4.52
COMUNA 10,1010000104,10075,452,4.49
COMUNA 10,1010000105,14929,723,4.84
COMUNA 10,1010000106,9265,451,4.87
COMUNA 10,1010000107,15470,741,4.79
COMUNA 10,1010000108,9714,543,5.59
COMUNA 10,1010000109,15193,863,5.68
COMUNA 10,1010000110,8090,414,5.12
COMUNA 10,1010000111,8595,434,5.05
COMUNA 10,1010000112,6584,338,5.13
COMUNA 11,1011000113,10249,533,5.2
COMUNA 11,1011000114,13511,670,4.96
COMUNA 11,1011000115,9370,527,5.62
COMUNA 11,1011000116,13592,748,5.5
COMUNA 11,1011000117,14739,750,5.09
COMUNA 11,1011000118,11631,530,4.56
COMUNA 11,1011000119,14489,625,4.31
COMUNA 11,1011000120,15244,659,4.32
COMUNA 11,1011000121,12473,506,4.06
COMUNA 11,1011000122,10581,359,3.39
COMUNA 11,1011000123,11594,506,4.36
COMUNA 12,1012000124,13351,632,4.73
COMUNA 12,1012000125,17542,874,4.98
COMUNA 12,1012000126,14626,773,5.29
COMUNA 12,1012000127,19325,810,4.19
COMUNA 12,1012000128,15891,826,5.2
COMUNA 12,1012000129,20498,981,4.79
COMUNA 12,1012000130,13851,687,4.96
COMUNA 12,1012000131,4524,242,5.35
COMUNA 12,1012000132,15922,779,4.89
COMUNA 12,1012000133,16419,836,5.09
COMUNA 13,1013000134,6827,298,4.37
COMUNA 13,1013000135,9464,351,3.71
COMUNA 13,1013000136,11511,570,4.95
COMUNA 13,1013000137,10995,534,4.86
COMUNA 13,1013000138,22381,943,4.21
COMUNA 13,1013000139,14109,565,4.0
COMUNA 13,1013000140,6545,304,4.64
COMUNA 13,1013000141,11224,404,3.6
COMUNA 13,1013000142,18655,459,2.46
COMUNA 13,1013000143,13915,518,3.72
COMUNA 13,1013000144,6201,269,4.34
COMUNA 13,1013000145,11900,703,5.91
COMUNA 13,1013000146,8724,487,5.58
COMUNA 13,1013000147,16001,577,3.61
COMUNA 14,1014000148,17107,545,3.19
COMUNA 14,1014000149,19245,504,2.62
COMUNA 14,1014000150,9688,164,1.69
COMUNA 14,1014000151,19475,482,2.47
COMUNA 14,1014000152,15096,489,3.24
COMUNA 14,1014000153,17650,846,4.79
COMUNA 14,1014000154,20244,998,4.93
COMUNA 14,1014000155,18373,875,4.76
COMUNA 14,1014000156,7586,473,6.24
COMUNA 14,1014000157,12399,694,5.6
COMUNA 15,1015000158,15275,934,6.11
COMUNA 15,1015000159,9413,578,6.14
COMUNA 15,1015000160,17770,1117,6.29
COMUNA 15,1015000161,15642,998,6.38
COMUNA 15,1015000162,12685,797,6.28
COMUNA 15,1015000163,9521,581,6.1
COMUNA 15,1015000164,8653,593,6.85
COMUNA 15,1015000165,15825,915,5.78
COMUNA 15,1015000166,13177,772,5.86
COMUNA 15,1015000167,10606,563,5.31
