NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_ULD_DIPNAC,PORCENTAJE_ULD_DIPNAC
COMUNA 01,1001000001,7115,182,2.56
COMUNA 01,1001000002,6635,199,3.0
COMUNA 01,1001000003,3377,119,3.52
COMUNA 01,1001000005,5393,86,1.59
COMUNA 01,1001000006,11100,316,2.85
COMUNA 01,1001000007,5335,161,3.02
COMUNA 01,1001000008,5688,188,3.31
COMUNA 01,1001000009,7309,257,3.52
COMUNA 01,1001000010,8189,271,3.31
COMUNA 01,1001000011,8197,273,3.33
COMUNA 01,1001000012,7768,249,3.21
COMUNA 01,1001000013,8890,273,3.07
COMUNA 01,1001000014,3528,113,3.2
COMUNA 01,1001000015,5820,144,2.47
COMUNA 01,1001000016,5943,161,2.71
COMUNA 01,1001000017,8778,243,2.77
COMUNA 01,1001000018,4859,159,3.27
COMUNA 01,1001000019,7851,200,2.55
COMUNA 02,1002000020,6947,216,3.11
COMUNA 02,1002000021,8080,222,2.75
COMUNA 02,1002000022,11875,370,3.12
COMUNA 02,1002000023,14752,431,2.92
COMUNA 02,1002000024,9689,254,2.62
COMUNA 02,1002000025,9401,290,3.08
COMUNA 02,1002000026,12226,354,2.9
COMUNA 02,1002000027,9137,289,3.16
COMUNA 02,1002000028,13207,433,3.28
COMUNA 02,1002000029,8625,259,3.0
COMUNA 03,1003000030,7979,217,2.72
COMUNA 03,1003000031,8888,285,3.21
COMUNA 03,1003000032,7974,227,2.85
COMUNA 03,1003000033,6432,196,3.05
COMUNA 03,1003000034,10020,346,3.45
COMUNA 03,1003000035,9306,243,2.61
COMUNA 03,1003000036,6278,182,2.9
COMUNA 03,1003000037,8258,253,3.06
COMUNA 03,1003000038,9107,281,3.09
COMUNA 03,1003000039,9583,332,3.46
COMUNA 03,1003000040,7371,235,3.19
COMUNA 03,1003000041,13721,424,3.09
COMUNA 03,1003000042,12062,359,2.98
COMUNA 04,1004000043,9232,299,3.24
COMUNA 04,1004000044,7311,223,3.05
COMUNA 04,1004000045,5353,152,2.84
COMUNA 04,1004000046,4881,150,3.07
COMUNA 04,1004000047,11181,131,1.17
COMUNA 04,1004000048,10295,290,2.82
COMUNA 04,1004000049,9129,259,2.84
COMUNA 04,1004000050,10959,307,2.8
COMUNA 04,1004000051,8034,246,3.06
COMUNA 04,1004000052,9454,226,2.39
COMUNA 04,1004000053,10692,246,2.3
COMUNA 04,1004000054,11477,292,2.54
COMUNA 04,1004000055,7420,200,2.7
COMUNA 04,1004000056,6864,197,2.87
COMUNA 04,1004000057,14630,443,3.03
COMUNA 05,1005000058,10877,367,3.37
COMUNA 05,1005000059,10361,321,3.1
COMUNA 05,1005000060,12266,364,2.97
COMUNA 05,1005000061,11723,366,3.12
COMUNA 05,1005000062,8034,249,3.1
COMUNA 05,1005000063,15526,532,3.43
COMUNA 05,1005000064,16714,477,2.85
COMUNA 05,1005000065,10516,290,2.76
COMUNA 05,1005000066,10193,350,3.43
COMUNA 05,1005000067,15739,432,2.74
COMUNA 06,1006000068,15765,474,3.01
COMUNA 06,1006000069,22535,696,3.09
COMUNA 06,1006000070,20684,639,3.09
COMUNA 06,1006000071,24724,836,3.38
COMUNA 06,1006000072,10770,349,3.24
COMUNA 06,1006000073,13842,391,2.82
COMUNA 06,1006000074,19277,652,3.38
COMUNA 07,1007000075,8275,280,3.38
COMUNA 07,1007000076,13207,450,3.41
COMUNA 07,1007000077,10308,376,3.65
COMUNA 07,1007000078,8195,273,3.33
COMUNA 07,1007000079,10047,313,3.12
COMUNA 07,1007000080,10633,399,3.75
COMUNA 07,1007000081,9827,279,2.84
COMUNA 07,1007000082,11287,393,3.48
COMUNA 07,1007000083,16283,558,3.43
COMUNA 07,1007000084,8838,298,3.37
COMUNA 07,1007000085,6063,224,3.69
COMUNA 07,1007000086,20925,588,2.81
COMUNA 08,1008000087,22915,513,2.24
COMUNA 08,1008000088,13075,433,3.31
COMUNA 08,1008000089,36057,892,2.47
COMUNA 08,1008000090,34300,859,2.5
COMUNA 09,1009000091,6707,198,2.95
COMUNA 09,1009000092,10727,411,3.83
COMUNA 09,1009000093,6662,191,2.87
COMUNA 09,1009000094,8442,280,3.32
COMUNA 09,1009000095,15070,516,3.42
COMUNA 09,1009000096,8483,264,3.11
COMUNA 09,1009000097,10989,323,2.94
COMUNA 09,1009000098,16149,584,3.62
COMUNA 09,1009000099,8741,271,3.1
COMUNA 09,1009000100,11106,380,3.42
COMUNA 09,1009000101,13539,415,3.07
COMUNA 10,1010000102,10505,383,3.65
COMUNA 10,1010000103,10295,344,3.34
COMUNA 10,1010000104,10075,302,3.0
COMUNA 10,1010000105,14929,440,2.95
COMUNA 10,1010000106,9265,280,3.02
COMUNA 10,1010000107,15470,488,3.15
COMUNA 10,1010000108,9714,310,3.19
COMUNA 10,1010000109,15193,448,2.95
COMUNA 10,1010000110,8090,237,2.93
COMUNA 10,1010000111,8595,277,3.22
COMUNA 10,1010000112,6584,224,3.4
COMUNA 11,1011000113,10249,351,3.42
COMUNA 11,1011000114,13511,435,3.22
COMUNA 11,1011000115,9370,287,3.06
COMUNA 11,1011000116,13592,437,3.22
COMUNA 11,1011000117,14739,459,3.11
COMUNA 11,1011000118,11631,367,3.16
COMUNA 11,1011000119,14489,437,3.02
COMUNA 11,1011000120,15244,577,3.79
COMUNA 11,1011000121,12473,428,3.43
COMUNA 11,1011000122,10581,391,3.7
COMUNA 11,1011000123,11594,419,3.61
COMUNA 12,1012000124,13351,456,3.42
COMUNA 12,1012000125,17542,532,3.03
COMUNA 12,1012000126,14626,464,3.17
COMUNA 12,1012000127,19325,628,3.25
COMUNA 12,1012000128,15891,563,3.54
COMUNA 12,1012000129,20498,647,3.16
COMUNA 12,1012000130,13851,481,3.47
COMUNA 12,1012000131,4524,144,3.18
COMUNA 12,1012000132,15922,533,3.35
COMUNA 12,1012000133,16419,535,3.26
COMUNA 13,1013000134,6827,226,3.31
COMUNA 13,1013000135,9464,327,3.46
COMUNA 13,1013000136,11511,363,3.15
COMUNA 13,1013000137,10995,325,2.96
COMUNA 13,1013000138,22381,738,3.3
COMUNA 13,1013000139,14109,427,3.03
COMUNA 13,1013000140,6545,223,3.41
COMUNA 13,1013000141,11224,366,3.26
COMUNA 13,1013000142,18655,585,3.14
COMUNA 13,1013000143,13915,494,3.55
COMUNA 13,1013000144,6201,218,3.52
COMUNA 13,1013000145,11900,340,2.86
COMUNA 13,1013000146,8724,271,3.11
COMUNA 13,1013000147,16001,499,3.12
COMUNA 14,1014000148,17107,542,3.17
COMUNA 14,1014000149,19245,549,2.85
COMUNA 14,1014000150,9688,278,2.87
COMUNA 14,1014000151,19475,621,3.19
COMUNA 14,1014000152,15096,441,2.92
COMUNA 14,1014000153,17650,509,2.88
COMUNA 14,1014000154,20244,599,2.96
COMUNA 14,1014000155,18373,490,2.67
COMUNA 14,1014000156,7586,220,2.9
COMUNA 14,1014000157,12399,353,2.85
COMUNA 15,1015000158,15275,436,2.85
COMUNA 15,1015000159,9413,236,2.51
COMUNA 15,1015000160,17770,486,2.73
COMUNA 15,1015000161,15642,456,2.92
COMUNA 15,1015000162,12685,349,2.75
COMUNA 15,1015000163,9521,217,2.28
COMUNA 15,1015000164,8653,225,2.6
COMUNA 15,1015000165,15825,469,2.96
COMUNA 15,1015000166,13177,415,3.15
COMUNA 15,1015000167,10606,316,2.98
