NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_JXC_JEFGOB,PORCENTAJE_JXC_JEFGOB
COMUNA 01,1001000001,7443,2865,38.49
COMUNA 01,1001000002,6602,2369,35.88
COMUNA 01,1001000003,3349,2524,75.37
COMUNA 01,1001000005,5952,998,16.77
COMUNA 01,1001000006,11079,8522,76.92
COMUNA 01,1001000007,5332,3653,68.51
COMUNA 01,1001000008,5681,3398,59.81
COMUNA 01,1001000009,7297,3969,54.39
COMUNA 01,1001000010,8179,4317,52.78
COMUNA 01,1001000011,8196,3494,42.63
COMUNA 01,1001000012,7740,3275,42.31
COMUNA 01,1001000013,8833,3593,40.68
COMUNA 01,1001000014,3518,1555,44.2
COMUNA 01,1001000015,5886,2082,35.37
COMUNA 01,1001000016,5930,2282,38.48
COMUNA 01,1001000017,8786,3223,36.68
COMUNA 01,1001000018,4795,1631,34.01
COMUNA 01,1001000019,7836,2632,33.59
COMUNA 02,1002000020,6924,4570,66.0
COMUNA 02,1002000021,8050,6234,77.44
COMUNA 02,1002000022,11863,7421,62.56
COMUNA 02,1002000023,14640,9164,62.6
COMUNA 02,1002000024,9631,6576,68.28
COMUNA 02,1002000025,9374,6662,71.07
COMUNA 02,1002000026,12218,8889,72.75
COMUNA 02,1002000027,9236,5460,59.12
COMUNA 02,1002000028,13173,7260,55.11
COMUNA 02,1002000029,8610,4709,54.69
COMUNA 03,1003000030,7958,3770,47.37
COMUNA 03,1003000031,8871,4263,48.06
COMUNA 03,1003000032,7975,3619,45.38
COMUNA 03,1003000033,6380,2754,43.17
COMUNA 03,1003000034,9989,4327,43.32
COMUNA 03,1003000035,9287,3580,38.55
COMUNA 03,1003000036,6207,2111,34.01
COMUNA 03,1003000037,8264,3203,38.76
COMUNA 03,1003000038,9065,3641,40.17
COMUNA 03,1003000039,9572,3917,40.92
COMUNA 03,1003000040,7372,3028,41.07
COMUNA 03,1003000041,13710,5029,36.68
COMUNA 03,1003000042,12455,4929,39.57
COMUNA 04,1004000043,9225,3502,37.96
COMUNA 04,1004000044,7284,2801,38.45
COMUNA 04,1004000045,5355,1905,35.57
COMUNA 04,1004000046,4895,1693,34.59
COMUNA 04,1004000047,11120,1776,15.97
COMUNA 04,1004000048,10278,4329,42.12
COMUNA 04,1004000049,9729,3474,35.71
COMUNA 04,1004000050,10935,5231,47.84
COMUNA 04,1004000051,8030,3694,46.0
COMUNA 04,1004000052,9372,3027,32.3
COMUNA 04,1004000053,10658,3357,31.5
COMUNA 04,1004000054,11458,4431,38.67
COMUNA 04,1004000055,7381,2438,33.03
COMUNA 04,1004000056,7055,2271,32.19
COMUNA 04,1004000057,14602,5280,36.16
COMUNA 05,1005000058,10805,4012,37.13
COMUNA 05,1005000059,10334,3780,36.58
COMUNA 05,1005000060,12535,4877,38.91
COMUNA 05,1005000061,11673,5367,45.98
COMUNA 05,1005000062,8020,3143,39.19
COMUNA 05,1005000063,15488,6719,43.38
COMUNA 05,1005000064,16662,7167,43.01
COMUNA 05,1005000065,10491,4583,43.69
COMUNA 05,1005000066,10159,4354,42.86
COMUNA 05,1005000067,15733,6719,42.71
COMUNA 06,1006000068,15954,6990,43.81
COMUNA 06,1006000069,22482,11733,52.19
COMUNA 06,1006000070,20636,9476,45.92
COMUNA 06,1006000071,24687,12468,50.5
COMUNA 06,1006000072,10784,4323,40.09
COMUNA 06,1006000073,13824,6006,43.45
COMUNA 06,1006000074,19233,10171,52.88
COMUNA 07,1007000075,8240,3697,44.87
COMUNA 07,1007000076,13173,5753,43.67
COMUNA 07,1007000077,10243,3838,37.47
COMUNA 07,1007000078,8193,3154,38.5
COMUNA 07,1007000079,10045,4548,45.28
COMUNA 07,1007000080,10619,4684,44.11
COMUNA 07,1007000081,9827,4559,46.39
COMUNA 07,1007000082,11642,5087,43.7
COMUNA 07,1007000083,16254,8431,51.87
COMUNA 07,1007000084,8807,3610,40.99
COMUNA 07,1007000085,5944,2698,45.39
COMUNA 07,1007000086,21689,5538,25.53
COMUNA 08,1008000087,23404,5603,23.94
COMUNA 08,1008000088,14138,5477,38.74
COMUNA 08,1008000089,35863,11700,32.62
COMUNA 08,1008000090,33991,10559,31.06
COMUNA 09,1009000091,6700,1463,21.84
COMUNA 09,1009000092,10715,3963,36.99
COMUNA 09,1009000093,6641,2396,36.08
COMUNA 09,1009000094,9240,3209,34.73
COMUNA 09,1009000095,15016,5827,38.81
COMUNA 09,1009000096,8477,2907,34.29
COMUNA 09,1009000097,10973,3771,34.37
COMUNA 09,1009000098,15977,6533,40.89
COMUNA 09,1009000099,8715,3831,43.96
COMUNA 09,1009000100,11066,4811,43.48
COMUNA 09,1009000101,13389,5733,42.82
COMUNA 10,1010000102,10471,4669,44.59
COMUNA 10,1010000103,10287,4440,43.16
COMUNA 10,1010000104,10034,4039,40.25
COMUNA 10,1010000105,14914,6428,43.1
COMUNA 10,1010000106,9296,3791,40.78
COMUNA 10,1010000107,15373,6483,42.17
COMUNA 10,1010000108,9722,3925,40.37
COMUNA 10,1010000109,15163,6263,41.3
COMUNA 10,1010000110,8073,3087,38.24
COMUNA 10,1010000111,8959,3581,39.97
COMUNA 10,1010000112,6584,2586,39.28
COMUNA 11,1011000113,10224,4234,41.41
COMUNA 11,1011000114,13502,5645,41.81
COMUNA 11,1011000115,9362,3647,38.96
COMUNA 11,1011000116,13529,5416,40.03
COMUNA 11,1011000117,14767,6483,43.9
COMUNA 11,1011000118,11627,5698,49.01
COMUNA 11,1011000119,14657,6923,47.23
COMUNA 11,1011000120,15193,7494,49.33
COMUNA 11,1011000121,12430,5829,46.89
COMUNA 11,1011000122,10544,6225,59.04
COMUNA 11,1011000123,11539,5514,47.79
COMUNA 12,1012000124,13337,5584,41.87
COMUNA 12,1012000125,17543,8050,45.89
COMUNA 12,1012000126,14598,6484,44.42
COMUNA 12,1012000127,19304,10524,54.52
COMUNA 12,1012000128,15876,7403,46.63
COMUNA 12,1012000129,20593,10246,49.75
COMUNA 12,1012000130,13788,6776,49.14
COMUNA 12,1012000131,4523,2111,46.67
COMUNA 12,1012000132,15876,7154,45.06
COMUNA 12,1012000133,16364,8154,49.83
COMUNA 13,1013000134,6824,3950,57.88
COMUNA 13,1013000135,9440,5566,58.96
COMUNA 13,1013000136,11647,6268,53.82
COMUNA 13,1013000137,10943,5888,53.81
COMUNA 13,1013000138,22267,13375,60.07
COMUNA 13,1013000139,14093,8728,61.93
COMUNA 13,1013000140,6554,3733,56.96
COMUNA 13,1013000141,11183,6844,61.2
COMUNA 13,1013000142,18615,14040,75.42
COMUNA 13,1013000143,13875,8623,62.15
COMUNA 13,1013000144,6205,4016,64.72
COMUNA 13,1013000145,11878,5958,50.16
COMUNA 13,1013000146,8815,4122,46.76
COMUNA 13,1013000147,15906,9752,61.31
COMUNA 14,1014000148,17019,11259,66.16
COMUNA 14,1014000149,19173,12996,67.78
COMUNA 14,1014000150,9660,7543,78.08
COMUNA 14,1014000151,19176,13270,69.2
COMUNA 14,1014000152,15309,10083,65.86
COMUNA 14,1014000153,17557,9804,55.84
COMUNA 14,1014000154,20138,10556,52.42
COMUNA 14,1014000155,18348,9154,49.89
COMUNA 14,1014000156,7557,3321,43.95
COMUNA 14,1014000157,12382,5561,44.91
COMUNA 15,1015000158,15256,6476,42.45
COMUNA 15,1015000159,9402,3848,40.93
COMUNA 15,1015000160,17753,7537,42.45
COMUNA 15,1015000161,15688,6237,39.76
COMUNA 15,1015000162,12683,4519,35.63
COMUNA 15,1015000163,9836,3553,36.12
COMUNA 15,1015000164,8649,3385,39.14
COMUNA 15,1015000165,15840,7006,44.23
COMUNA 15,1015000166,13172,5422,41.16
COMUNA 15,1015000167,10598,4821,45.49
